Time \ Name,DVS,LAI,dW,W,WLeaves
0,0,0.12,1.9568,10,3.25
1,0.0127,0.131,2.7825,11.9568,3.8861
2,0.0282,0.1456,2.6971,14.7393,4.7906
3,0.0471,0.1654,3.6066,17.4364,5.6673
4,0.0678,0.1901,4.3059,21.0429,6.8396
5,0.0876,0.2171,4.8931,25.3488,8.2393
6,0.1069,0.2473,3.7799,30.2419,9.8298
7,0.1211,0.2727,3.756,34.0218,11.0797
8,0.1299,0.29,6.2493,37.7778,12.3655
9,0.14,0.311,6.6369,44.0271,14.5504
10,0.1492,0.3315,7.2177,50.664,16.9266
11,0.1575,0.3514,7.8983,57.8817,19.5665
12,0.1718,0.3876,7.2553,65.78,22.5393
13,0.1886,0.4343,7.4339,73.0354,25.4094
14,0.2087,0.4975,9.211,80.4693,28.5195
15,0.2314,0.5787,11.6986,89.6803,32.5864
16,0.252,0.6644,13.1392,101.3789,37.9788
17,0.2717,0.7589,14.7728,114.5181,44.2508
18,0.2921,0.9006,15.7272,129.2909,51.3384
19,0.3113,1.0521,20.7568,145.0182,58.9107
20,0.3269,1.2516,22.9556,165.7749,68.889
21,0.3413,1.4714,25.9244,188.7305,79.8784
22,0.356,1.7185,27.3852,214.655,92.231
23,0.3705,1.9785,24.1823,242.0401,105.2336
24,0.3874,2.2079,26.6342,266.2225,116.7003
25,0.4069,2.4598,28.6314,292.8566,129.2988
26,0.4226,2.7286,7.6624,321.4881,142.736
27,0.4388,2.7996,17.0127,329.1504,146.2866
28,0.4535,2.9551,7.3255,346.1631,154.063
29,0.4661,3.0212,18.2684,353.4886,157.3701
30,0.4841,3.1846,19.4644,371.757,165.5366
31,0.4997,3.3561,22.5553,391.2215,174.1121
32,0.5152,3.5523,19.4149,413.7767,183.9206
33,0.534,3.7147,23.7554,433.1916,192.0429
34,0.5507,3.9037,28.9959,456.9471,201.4946
35,0.5639,4.1237,11.7968,485.943,212.4949
36,0.5766,4.2099,13.0409,497.7397,216.8006
37,0.5873,4.3014,34.7968,510.7806,221.3782
38,0.6019,4.5374,16.6539,545.5774,233.1778
39,0.6204,4.645,27.0842,562.2313,238.5573
40,0.6413,4.8097,33.4719,589.3155,246.7925
41,0.6634,4.9988,28.4673,622.7874,256.2494
42,0.6861,5.1468,21.4947,651.2547,263.6501
43,0.707,5.2488,35.5442,672.7494,268.7461
44,0.7296,5.4026,31.092,708.2936,276.4366
45,0.7532,5.5242,35.3765,739.3855,282.5151
46,0.7733,5.6466,16.3211,774.762,288.6391
47,0.7902,5.6963,6.2199,791.0831,291.1233
48,0.8029,5.713,11.7428,797.303,291.9601
49,0.8129,5.7417,36.7814,809.0458,293.3906
50,0.8246,5.8251,22.9963,845.8272,297.5643
51,0.8405,5.8729,15.9472,868.8235,299.951
52,0.8558,5.9017,28.105,884.7707,301.3932
53,0.8744,5.9456,19.7113,912.8757,303.5877
54,0.8936,5.9709,21.6693,932.587,304.8502
55,0.9145,5.9923,31.1201,954.2563,305.9224
56,0.936,6.012,36.374,985.3764,306.9101
57,0.9574,6.0212,31.5638,1021.7504,307.3667
58,0.9826,6.0212,36.8116,1053.3142,307.3667
59,1.0093,6.0212,22.1789,1090.1258,307.3667
60,1.0262,5.8405,24.6317,1112.3048,307.3667
61,1.0431,5.6653,35.9053,1136.9364,307.3667
62,1.0607,5.4954,16.222,1172.8417,307.3667
63,1.0757,5.3305,34.0777,1189.0637,307.3667
64,1.0925,5.1706,21.1767,1223.1414,307.3667
65,1.1109,5.0155,17.778,1244.3181,307.3667
66,1.1282,4.865,28.8187,1262.0961,307.3667
67,1.1423,4.7191,37.8877,1290.9148,307.3667
68,1.1585,4.5775,29.6674,1328.8025,307.3667
69,1.1755,4.4402,41.5998,1358.4699,307.3667
70,1.1935,4.307,21.4443,1400.0697,307.3667
71,1.2123,4.1778,6.5981,1421.5139,307.3667
72,1.2255,4.0524,21.3017,1428.112,307.3667
73,1.2394,3.9308,25.4789,1449.4137,307.3667
74,1.2531,3.8129,24.7746,1474.8926,307.3667
75,1.2712,3.6985,13.7967,1499.6672,307.3667
76,1.2855,3.5876,18.0766,1513.464,307.3667
77,1.2953,3.4799,30.215,1531.5405,307.3667
78,1.3049,3.3756,21.4135,1561.7555,307.3667
79,1.3163,3.2743,9.693,1583.169,307.3667
80,1.3288,3.1761,13.9839,1592.862,307.3667
81,1.3418,3.0808,25.1552,1606.8459,307.3667
82,1.3604,2.9884,22.2996,1632.0011,307.3667
83,1.3757,2.8987,12.382,1654.3007,307.3667
84,1.3883,2.8117,15.9548,1666.6827,307.3667
85,1.3995,2.7274,17.8284,1682.6375,307.3667
86,1.412,2.6456,17.5145,1700.4659,307.3667
87,1.425,2.5662,30.5487,1717.9804,307.3667
88,1.4391,2.4892,30.8751,1748.5291,307.3667
89,1.4531,2.4145,19.0243,1779.4042,307.3667
90,1.4663,2.3421,25.4119,1798.4285,307.3667
91,1.4793,2.2718,16.3229,1823.8404,307.3667
92,1.4911,2.2037,18.7677,1840.1633,307.3667
93,1.5045,2.1376,17.5403,1858.931,307.3667
94,1.5236,2.0734,26.726,1876.4713,307.3667
95,1.5457,2.0112,25.9902,1903.1973,307.3667
96,1.5695,1.9509,28.6675,1929.1875,307.3667
97,1.5944,1.8924,30.1024,1957.855,307.3667
98,1.6141,1.8356,22.789,1987.9574,307.3667
99,1.6317,1.7805,12.816,2010.7465,307.3667
100,1.6458,1.7271,16.8373,2023.5624,307.3667
101,1.6624,1.6753,21.0201,2040.3998,307.3667
102,1.6778,1.625,21.4752,2061.4199,307.3667
103,1.6927,1.5763,7.3356,2082.8951,307.3667
104,1.7041,1.529,10.6279,2090.2307,307.3667
105,1.7177,1.4831,21.9068,2100.8586,307.3667
106,1.7331,1.4386,20.3753,2122.7654,307.3667
107,1.7518,1.3955,19.7893,2143.1407,307.3667
108,1.7691,1.3536,12.2127,2162.93,307.3667
109,1.7851,1.313,5.9676,2175.1427,307.3667
110,1.7974,1.2736,13.8317,2181.1102,307.3667
111,1.807,1.2354,17.6748,2194.942,307.3667
112,1.817,1.1983,22.2155,2212.6167,307.3667
113,1.8297,1.1624,5.3253,2234.8322,307.3667
114,1.8427,1.1275,18.2364,2240.1575,307.3667
115,1.8568,1.0937,20.5836,2258.3939,307.3667
116,1.8727,1.0609,20.8607,2278.9775,307.3667
117,1.8918,1.0291,15.8562,2299.8382,307.3667
118,1.9127,0.9982,3.9031,2315.6944,307.3667
119,1.9266,0.9682,3.2345,2319.5975,307.3667
120,1.939,0.9392,1.1989,2322.832,307.3667
121,1.9508,0.911,2.9759,2324.0309,307.3667
122,1.9655,0.8837,14.6171,2327.0068,307.3667
123,1.9803,0.8572,14.5371,2341.6239,307.3667
124,1.995,0.8315,15.3997,2356.161,307.3667
125,2.0108,0.8065,0,2371.5607,307.3667
126,2.0274,0.7823,0,2371.5607,307.3667
127,2.046,0.7589,0,2371.5607,307.3667
