"";"Timestep";"DVS";"W";"dW";"LAI";"WRoots";"WLeaves";"WStems";"WStorageOrgans";"FRoot";"FLeaves";"FStems";"FStorageOrgans";"FAll"
"1";0;0;10;1,95677630596746;0,12;5;3,25;1,25;0;0,4;0,372;0,228;0;1
"2";1;0,0126875;11,9567763059675;2,78251228705836;0,130962;5,78271052238699;3,9779207858199;1,69614499776058;0;0,39619375;0,374359875;0,229446375;0;1
"3";2;0,0281875;14,7392885930258;2,69706148333682;0,1455773592;6,88512449981771;5,01958173778903;2,33458235541908;0;0,39154375;0,377242875;0,231213375;0;1
"4";3;0,047125;17,4363500763627;3,60656711664769;0,16542683212692;7,94114206698398;6,03702896581478;2,9581790435639;0;0,3858625;0,38076525;0,23337225;0;1
"5";4;0,0678125;21,0429171930103;4,30588692441013;0,190067158772225;9,33278107103145;7,41028439562691;3,79985172635198;0;0,37965625;0,384613125;0,235730625;0;1
"6";5;0,0875625;25,3488041174205;4,89307199497895;0,217094708749635;10,967537953677;9,06638502152093;4,81488114222251;0;0,37373125;0,388286625;0,237982125;0;1
"7";6;0,106875;30,2418761123994;3,77994614610733;0,247281728001272;12,7962318667005;10,9662994323333;5,97934481336559;0;0,3679375;0,39187875;0,24018375;0;1
"8";7;0,121125;34,0218222585068;3,75598624428314;0,272652833294202;14,1870158018339;12,4475800031372;6,88722645353569;0;0,3636625;0,39452925;0,24180825;0;1
"9";8;0,1299375;37,7778085027899;6,24929389011152;0,289952655566719;15,5529271493955;13,9294264391045;7,79545491428987;0;0,36101875;0,396168375;0,242812875;0;1
"10";9;0,14;44,0271023929014;6,6369270675386;0,310959725462528;17,8090394179862;16,4051990444474;9,31286393046778;0;0,358;0,39804;0,24396;0;1
"11";10;0,1491875;50,66402946044;7,21766799358664;0,331529711301874;20,185059308165;19,0469614944105;10,9320086578645;0;0,35524375;0,399748875;0,245007375;0;1
"12";11;0,1575;57,8816974540267;7,89834855146607;0,351371764523292;22,7490907524617;21,9322161549703;12,7003905465947;0;0,35275;0,401295;0,245955;0;1
"13";12;0,1718125;65,7800460054927;7,25534539665689;0,387580624857417;25,5352332039914;25,1017839369308;14,6430288645705;0;0,34845625;0,403957125;0,247586625;0;1
"14";13;0,1885625;73,0353914021496;7,43388696144614;0,434322848215221;28,0634036533652;28,0326324042463;16,4393553445381;0;0,34343125;0,407072625;0,249496125;0;1
"15";14;0,20875;80,4692783635957;9,21103363860147;0,497451674203304;30,6164327448933;31,0587642835955;18,2940813351069;0;0,337375;0,4108275;0,2517975;0;1
"16";15;0,2314375;89,6803120021972;11,6985860263991;0,578710405184413;33,7240052187165;34,842910205758;20,6133965777227;0;0,33056875;0,415047375;0,254383875;0;1
"17";16;0,252;101,378898028596;13,1391963048539;0,664388480671966;37,5911921782307;39,6983776272267;23,5893282231389;0;0,3244;0,418872;0,256728;0;1
"18";17;0,27175;114,51809433345;14,7728393571766;0,758864522623519;41,8535474595253;45,2020190618334;26,9625278120915;0;0,318475;0,4225455;0,2589795;0;1
"19";18;0,2920625;129,290933690627;15,514062987581;0,883708458475477;46,5583274738021;51,4442158544313;30,7883903623934;0;0,31238125;0,426323625;0,261295125;0;1
"20";19;0,3113125;144,804996678208;20,2691462486324;1,01598868990235;51,4046298624414;58,0582274257752;34,8421393899912;0;0,305475;0,4306055;0,2639195;0;1
"21";20;0,326875;165,07414292684;22,2401568144666;1,19054880700166;57,5963473127424;66,7862332807406;40,1915623333572;0;0,29925;0,434465;0,266285;0;1
"22";21;0,3413125;187,314299741307;25,0139855447798;1,38380020160961;64,2517142394715;76,4488030111379;46,1137824906974;0;0,293475;0,431215490710227;0,275309509289773;0;1
"23";22;0,356;212,328285286086;26,3646548792972;1,59952856263582;71,5926936472258;87,2352210624486;53,0003705764122;0;0,2876;0,425859767272727;0,286540232727273;0;1
"24";23;0,3705;238,692940165384;23,2604355828876;1,82408147845829;79,1751683905116;98,4628668535719;60,5549049213002;0;0,2818;0,420427750909091;0,297772249090909;0;1
"25";24;0,3874375;261,953375748271;25,6179787245403;2,01966813080387;85,7299591377694;108,242199470851;67,4812171396509;0;0,275025;0,413900585028409;0,311074414971591;0;1
"26";25;0,406875;287,571354472811;27,5527525537131;2,23173405843052;92,775543736486;118,845495852184;75,4503148841419;0;0,26725;0,406168321022727;0,326581678977273;0;1
"27";26;0,4225625;315,124107026525;7,38188513710921;2,45555516331645;100,139016856466;130,03655109648;84,4485390735788;0;0,260975;0,399739462301136;0,339285537698864;0;1
"28";27;0,4388125;322,505992163634;16,396578371824;2,51457177922599;102,065504330123;132,987381891957;86,9531059415542;0;0,254475;0,3929026884375;0,3526223115625;0;1
"29";28;0,4535;338,902570535458;7,06718406803618;2,6434169736953;106,238023611293;139,429641615423;92,7349053087424;0;0,2486;0,386567976363636;0,364832023636364;0;1
"30";29;0,466125;345,969754603494;17,6321073358533;2,6980559145707;107,994925570607;142,161588659193;95,3132403736948;0;0,24355;0,38100495375;0,37544504625;0;1
"31";30;0,484125;363,601861939347;18,8082481568561;2,83241431937094;112,289225312254;148,879508899204;101,933127727889;0;0,23635;0,372885088295455;0,390764911704545;0;1
"32";31;0,4996875;382,410110096203;21,8226291906091;2,97268062486398;116,734554764127;155,892824173857;109,28273115822;0;0,230125;0,365686250710227;0,404188749289773;0;1
"33";32;0,51525;404,232739286812;18,8127727251287;3,13228533385105;121,756487306616;163,87305962321;118,103192356987;0;0,2239;0,358321842272727;0,417778157727273;0;1
"34";33;0,534;423,045512011941;23,0543466732053;3,26710588147358;125,968667119772;170,614087004336;125,962757887833;0;0,2164;0,349229149090909;0,434370850909091;0;1
"35";34;0,5506875;446,099858685146;28,1989509512096;3,42813087890418;130,957627739854;178,665336875867;135,976894069426;0;0,209725;0,3409345134375;0,4493404865625;0;1
"36";35;0,563875;474,298809636356;11,502482713891;3,62041079134415;136,871652728096;188,279332497865;148,647824410395;0;0,20445;0,334244908295455;0,461305091704545;0;1
"37";36;0,5765625;485,801292350247;12,7290295238929;3,69730371694164;139,223335318951;192,12397877774;153,953978253557;0;0,199375;0,327696722301136;0,472928277698864;0;1
"38";37;0,5873125;498,53032187414;34,004234009128;3,78072894200273;141,761185580277;196,295240030794;159,973896263069;0;0,195075;0,3220623834375;0,4828626165625;0;1
"39";38;0,601875;532,534555883268;16,322341456034;3,99975863504165;148,394561529608;207,24672468274;176,39326967092;0;0,18925;0,314303821022727;0,496446178977273;0;1
"40";39;0,6204375;548,856897339302;26,5801847256001;4,10236212079503;151,483564650162;212,376898970409;184,496433718731;0;0,181825;0,304203973210227;0,513971026789773;0;1
"41";40;0,64125;575,437082064902;32,9156418108411;4,26407807683882;156,316506737894;220,462696772598;198,157878554409;0;0,1735;0,292599784090909;0,533900215909091;0;1
"42";41;0,6634375;608,352723875743;28,0577911744102;4,45670027058014;162,027370592075;230,093806459664;215,731546824004;0;0,164625;0,2799028359375;0,5554721640625;0;1
"43";42;0,6860625;636,410515050153;21,2223898744809;4,61376937697733;166,646384464163;237,947261779524;231,316868806467;0;0,155575;0,266608961846591;0,577816038153409;0;1
"44";43;0,707;657,632904924634;35,1361854608348;4,72693096362411;169,948057768885;243,605341111863;243,579506043887;0;0,1465;0,254203336363636;0,599296663636364;0;1
"45";44;0,7295625;692,769090385469;30,7903579728661;4,90556567504882;175,095508938897;252,537076683098;264,636504763473;0;0,13521875;0,240889730717329;0,623891519282671;0;1
"46";45;0,7531875;723,559448358335;35,0817795082672;5,0539072958643;179,258942656041;259,954157723872;283,846347978422;0;0,12340625;0,22648293725142;0,65011081274858;0;1
"47";46;0,7733125;758,641227866602;16,2076857234561;5,21281578520508;183,588253508483;267,899582190911;306,653392167208;0;0,11334375;0,213834283274148;0,672821966725852;0;1
"48";47;0,7901875;774,848913590058;6,18036262682645;5,28213096240924;185,425293387201;271,365341051119;317,558279151738;0;0,10490625;0,202961490660511;0,692132259339489;0;1
"49";48;0,802875;781,029276216885;11,6707536859117;5,3072184746405;186,073652054021;272,619716662682;321,835907500181;0;0,09885;0,194564429204545;0,706585570795454;0;1
"50";49;0,8129375;792,700029902797;36,5707716546945;5,35263274522623;187,227306055874;274,890430191969;330,082293654954;0;0,094825;0,187649977755682;0,717525022244318;0;1
"51";50;0,8245625;829,270801557491;22,8914694934939;5,48988283497646;190,69512947803;281,75293467948;356,322737399981;0;0,090175;0,179575675482955;0,730249324517045;0;1
"52";51;0,8405;852,162271050985;15,8849324162824;5,57209785691829;192,759367739606;285,863685776572;373,039217534807;0;0,0838;0,168355914545454;0,747844085454546;0;1
"53";52;0,8558125;868,047203467267;28,0071615140226;5,62558430340701;194,09052507609;288,538008101008;384,918670290169;0;0,077675;0,157412578892046;0,764912421107955;0;1
"54";53;0,8744375;896,05436498129;19,656326774207;5,71375789383438;196,265981346692;292,946687622376;406,341696012222;0;0,070225;0,1438858509375;0,7858891490625;0;1
"55";54;0,893625;915,710691755497;21,6185288694666;5,77032323991862;197,646346894411;295,774954926589;421,789389934498;0;0,06255;0,1406175;0,7968325;0;1
"56";55;0,9145;937,329220624964;31,0632165795792;5,83112210958467;198,998585875196;298,814898409891;439,015736339877;0;0,0513;0,142305;0,806395;0;1
"57";56;0,936;968,392437204543;36,3372746784365;5,91953113029181;200,592128885728;303,235349445248;464,064958873567;0;0,0384;0,14424;0,81736;0;1
"58";57;0,957375;1004,72971188298;31,5648264693318;6,02435690028416;201,98748023338;308,476637944865;493,765593704734;0;0,025575;0,143768288541667;0,806702096875;0,0239546145833337;1
"59";58;0,982625;1036,29453835231;36,846768198497;6,11511732187637;202,794750670333;313,014659024476;519,229005405039;0,756123252462655;0,0104249999999999;0,137674621875;0,744284096875;0,10761628125;1
"60";59;1,00925;1073,14130655081;22,2214331898457;6,21657461945725;203,178878228803;318,08752390352;546,65346899642;4,72143542206568;0;0,13025;0,67225;0,1975;1
"61";60;1,02619117647059;1095,36273974065;24,6984493580872;6,08796421433308;203,178878228803;320,981865576497;561,591827458294;9,11016847706021;0;0,124602941176471;0,621426470588235;0,253970588235294;1
"62";61;1,04313235294118;1120,06118909874;36,0373418556226;5,9668752765534;203,178878228803;324,059365009013;576,940097671892;15,3828481890332;0;0,118955882352941;0,570602941176471;0,310441176470588;1
"63";62;1,06072058823529;1156,09853095436;16,3042815975511;5,87360609421861;203,178878228803;328,346218807103;597,503110926893;26,5703229915655;0;0,113093137254902;0,517838235294118;0,36906862745098;1
"64";63;1,07566176470588;1172,40281255192;34,2836493770675;5,73427595852314;203,178878228803;330,190121163658;605,946091337107;32,587721822348;0;0,108112745098039;0,473014705882353;0,418872549019608;1
"65";64;1,09254411764706;1206,68646192898;21,338956118418;5,63637766869011;203,178878228803;333,896620609791;622,162761663774;46,9482014266147;0;0,102485294117647;0,422367647058823;0,47514705882353;1
"66";65;1,11089705882353;1228,0254180474;17,9384773829381;5,5110249225086;203,178878228803;336,083549803751;631,175646350202;57,0873436646454;0;0,0891029411764705;0,356411764705882;0,554485294117648;1
"67";66;1,12819117647059;1245,96389543034;29,1169798561168;5,37766159673429;203,178878228803;337,681920898798;637,569130730391;67,0339655723466;0;0,0718088235294115;0,287235294117646;0,640955882352942;1
"68";67;1,14230882352941;1275,08087528646;38,3421880042909;5,25814887019621;203,178878228803;339,772776966995;645,932555003181;85,6966650874768;0;0,0576911764705879;0,230764705882352;0,71154411764706;1
"69";68;1,15848529411765;1313,42306329075;30,0786970265889;5,1446445227788;203,178878228803;341,984782901419;654,780578740877;112,978823419648;0;0,0415147058823527;0,166058823529411;0,792426470588237;1
"70";69;1,17548529411765;1343,50176031734;42,2446261254352;5,0152793523031;203,178878228803;343,233491161803;659,77541178241;136,81397914432;0;0,0245147058823527;0,098058823529411;0,877426470588236;1
"71";70;1,19348529411765;1385,74638644277;21,8126280258541;4,88553326342551;203,178878228803;344,269105746378;663,91787012071;173,880532346881;0;0,00651470588235271;0,0260588235294109;0,967426470588236;1
"72";71;1,21230882352941;1407,55901446862;6,72022014540882;4,74180932264494;203,178878228803;344,411208602487;664,486281545148;194,982646092187;0;0;0;1;1
"73";72;1,22554411764706;1414,27923461403;21,7237689021065;4,59955504296559;203,178878228803;344,411208602487;664,486281545148;201,702866237596;0;0;0;1;1
"74";73;1,23942647058824;1436,00300351614;26,0179357114547;4,46156839167662;203,178878228803;344,411208602487;664,486281545148;223,426635139702;0;0;0;1;1
"75";74;1,25307352941176;1462,02093922759;25,3329198740591;4,32772133992632;203,178878228803;344,411208602487;664,486281545148;249,444570851157;0;0;0;1;1
"76";75;1,27119117647059;1487,35385910165;14,1271982562087;4,19788969972853;203,178878228803;344,411208602487;664,486281545148;274,777490725216;0;0;0;1;1
"77";76;1,28548529411765;1501,48105735786;18,5357101645258;4,07195300873668;203,178878228803;344,411208602487;664,486281545148;288,904688981425;0;0;0;1;1
"78";77;1,29530882352941;1520,01676752239;31,0271849043508;3,94979441847458;203,178878228803;344,411208602487;664,486281545148;307,44039914595;0;0;0;1;1
"79";78;1,30489705882353;1551,04395242674;22,0213662306658;3,83130058592034;203,178878228803;344,411208602487;664,486281545148;338,467584050301;0;0;0;1;1
"80";79;1,31625;1573,06531865741;9,98301170181585;3,71636156834273;203,178878228803;344,411208602487;664,486281545148;360,488950280967;0;0;0;1;1
"81";80;1,32877941176471;1583,04833035922;14,4241591983914;3,60487072129245;203,178878228803;344,411208602487;664,486281545148;370,471961982783;0;0;0;1;1
"82";81;1,34177941176471;1597,47248955761;25,9867542869632;3,49672459965367;203,178878228803;344,411208602487;664,486281545148;384,896121181174;0;0;0;1;1
"83";82;1,36036764705882;1623,45924384458;23,0724329094084;3,39182286166406;203,178878228803;344,411208602487;664,486281545148;410,882875468137;0;0;0;1;1
"84";83;1,37572058823529;1646,53167675398;12,8310593729015;3,29006817581414;203,178878228803;344,411208602487;664,486281545148;433,955308377546;0;0;0;1;1
"85";84;1,38825;1659,36273612689;16,5594375775182;3,19136613053972;203,178878228803;344,411208602487;664,486281545148;446,786367750447;0;0;0;1;1
"86";85;1,39954411764706;1675,9221737044;18,5332871237868;3,09562514662353;203,178878228803;344,411208602487;664,486281545148;463,345805327966;0;0;0;1;1
"87";86;1,41195588235294;1694,45546082819;18,2357662825708;3,00275639222482;203,178878228803;344,411208602487;664,486281545148;481,879092451752;0;0;0;1;1
"88";87;1,42501470588235;1712,69122711076;31,8572868108693;2,91267370045808;203,178878228803;344,411208602487;664,486281545148;500,114858734323;0;0;0;1;1
"89";88;1,43907352941176;1744,54851392163;32,2488870642904;2,82529348944433;203,178878228803;344,411208602487;664,486281545148;531,972145545192;0;0;0;1;1
"90";89;1,45307352941176;1776,79740098592;19,9023882239993;2,740534684761;203,178878228803;344,411208602487;664,486281545148;564,221032609483;0;0;0;1;1
"91";90;1,46630882352941;1796,69978920992;26,627098816363;2,65831864421817;203,178878228803;344,411208602487;664,486281545148;584,123420833482;0;0;0;1;1
"92";91;1,47930882352941;1823,32688802628;17,1305407373351;2,57856908489163;203,178878228803;344,411208602487;664,486281545148;610,750519649845;0;0;0;1;1
"93";92;1,49113235294118;1840,45742876362;19,7274508492487;2,50121201234488;203,178878228803;344,411208602487;664,486281545148;627,88106038718;0;0;0;1;1
"94";93;1,50454411764706;1860,18487961287;18,4662527271861;2,42617565197453;203,178878228803;344,411208602487;664,486281545148;647,608511236429;0;0;0;1;1
"95";94;1,52360294117647;1878,65113234005;28,1808627924625;2,3533903824153;203,178878228803;344,411208602487;664,486281545148;666,074763963615;0;0;0;1;1
"96";95;1,54572058823529;1906,83199513252;27,4475415070171;2,28278867094284;203,178878228803;344,411208602487;664,486281545148;694,255626756078;0;0;0;1;1
"97";96;1,56948529411765;1934,27953663953;30,3216311416101;2,21430501081455;203,178878228803;344,411208602487;664,486281545148;721,703168263095;0;0;0;1;1
"98";97;1,59442647058824;1964,60116778114;31,8879765174677;2,14787586049012;203,178878228803;344,411208602487;664,486281545148;752,024799404705;0;0;0;1;1
"99";98;1,61407352941176;1996,48914429861;24,1773199432198;2,08343958467541;203,178878228803;344,411208602487;664,486281545148;783,912775922173;0;0;0;1;1
"100";99;1,63172058823529;2020,66646424183;13,6171116878132;2,02093639713515;203,178878228803;344,411208602487;664,486281545148;808,090095865393;0;0;0;1;1
"101";100;1,64583823529412;2034,28357592964;17,9163644929224;1,9603083052211;203,178878228803;344,411208602487;664,486281545148;821,707207553206;0;0;0;1;1
"102";101;1,66236764705882;2052,19994042257;22,3999924702831;1,90149905606446;203,178878228803;344,411208602487;664,486281545148;839,623572046128;0;0;0;1;1
"103";102;1,67777941176471;2074,59993289285;22,9180059290303;1,84445408438253;203,178878228803;344,411208602487;664,486281545148;862,023564516411;0;0;0;1;1
"104";103;1,69272058823529;2097,51793882188;7,83961222262858;1,78912046185105;203,178878228803;344,411208602487;664,486281545148;884,941570445442;0;0;0;1;1
"105";104;1,70413235294118;2105,35755104451;11,3741700022251;1,73544684799552;203,178878228803;344,411208602487;664,486281545148;892,78118266807;0;0;0;1;1
"106";105;1,71772058823529;2116,73172104673;23,4775380448718;1,68338344255566;203,178878228803;344,411208602487;664,486281545148;904,155352670295;0;0;0;1;1
"107";106;1,73307352941176;2140,2092590916;21,8660472773328;1,63288193927899;203,178878228803;344,411208602487;664,486281545148;927,632890715167;0;0;0;1;1
"108";107;1,75183823529412;2162,07530636894;21,2658293300016;1,58389548110062;203,178878228803;344,411208602487;664,486281545148;949,4989379925;0;0;0;1;1
"109";108;1,76913235294118;2183,34113569894;13,141270989399;1,5363786166676;203,178878228803;344,411208602487;664,486281545148;970,764767322501;0;0;0;1;1
"110";109;1,78507352941177;2196,48240668834;6,42970235220344;1,49028725816757;203,178878228803;344,411208602487;664,486281545148;983,9060383119;0;0;0;1;1
"111";110;1,79736764705882;2202,91210904054;14,9219088324762;1,44557864042254;203,178878228803;344,411208602487;664,486281545148;990,335740664104;0;0;0;1;1
"112";111;1,80695588235294;2217,83401787302;19,0918256308924;1,40221128120987;203,178878228803;344,411208602487;664,486281545148;1005,25764949658;0;0;0;1;1
"113";112;1,81701470588235;2236,92584350391;24,0262832178527;1,36014494277357;203,178878228803;344,411208602487;664,486281545148;1024,34947512747;0;0;0;1;1
"114";113;1,82972058823529;2260,95212672176;5,76631589243602;1,31934059449036;203,178878228803;344,411208602487;664,486281545148;1048,37575834533;0;0;0;1;1
"115";114;1,84266176470588;2266,7184426142;19,7702978410132;1,27976037665565;203,178878228803;344,411208602487;664,486281545148;1054,14207423776;0;0;0;1;1
"116";115;1,85683823529412;2286,48874045521;22,3409040403426;1,24136756535598;203,178878228803;344,411208602487;664,486281545148;1073,91237207877;0;0;0;1;1
"117";116;1,87266176470588;2308,82964449555;22,6675724350846;1,2041265383953;203,178878228803;344,411208602487;664,486281545148;1096,25327611912;0;0;0;1;1
"118";117;1,89177941176471;2331,49721693064;17,2488715271441;1,16800274224344;203,178878228803;344,411208602487;664,486281545148;1118,9208485542;0;0;0;1;1
"119";118;1,91266176470588;2348,74608845778;4,25063795026659;1,13296265997614;203,178878228803;344,411208602487;664,486281545148;1136,16972008135;0;0;0;1;1
"120";119;1,92660294117647;2352,99672640805;3,52620451763423;1,09897378017686;203,178878228803;344,411208602487;664,486281545148;1140,42035803161;0;0;0;1;1
"121";120;1,93901470588235;2356,52293092568;1,30844961735306;1,06600456677155;203,178878228803;344,411208602487;664,486281545148;1143,94656254925;0;0;0;1;1
"122";121;1,95077941176471;2357,83138054304;3,25107774228305;1,0340244297684;203,178878228803;344,411208602487;664,486281545148;1145,2550121666;0;0;0;1;1
"123";122;1,96548529411765;2361,08245828532;15,9848524596716;1,00300369687535;203,178878228803;344,411208602487;664,486281545148;1148,50608990888;0;0;0;1;1
"124";123;1,98025;2377,06731074499;15,9130485922911;0,972913585969092;203,178878228803;344,411208602487;664,486281545148;1164,49094236855;0;0;0;1;1
"125";124;1,99495588235294;2392,98035933728;16,8734769538835;0,943726178390019;203,178878228803;344,411208602487;664,486281545148;1180,40399096085;0;0;0;1;1
"126";125;2,01077941176471;2409,85383629117;0;0,915414393038319;203,178878228803;344,411208602487;664,486281545148;1197,27746791473;0;0;0;0;0
