Time \ Name,DVS,W,dW,LAI,WRoots,WLeaves,WStems,WStorageOrgans,FRoot,"FLeaves
",FStems,FStorageOrgans,FAll,TRANRF,froot,fshoot
0,0,10,1.9568,0.12,5,3.25,1.25,0,0.5,0.3251,0.1754,0,1.0004,1,1,0.5
1,0.0127,11.9568,2.7825,0.131,5.9784,3.8861,1.5932,0,0.5,0.3251,0.1754,0,1.0004,1,1,0.5
2,0.0282,14.7393,2.6971,0.1456,7.3696,4.7906,2.0811,0,0.5,0.3251,0.1754,0,1.0004,1,1,0.5
3,0.0471,17.4364,3.6066,0.1654,8.7182,5.6673,2.5541,0,0.5,0.3251,0.1754,0,1.0004,1,1,0.5
4,0.0678,21.0429,4.3059,0.1901,10.5215,6.8396,3.1866,0,0.5,0.3251,0.1754,0,1.0004,1,1,0.5
5,0.0876,25.3488,4.8931,0.2171,12.6744,8.2393,3.9418,0,0.5,0.3251,0.1754,0,1.0004,1,1,0.5
6,0.1069,30.2419,3.7799,0.2473,15.1209,9.8298,4.7999,0,0.4932,0.3307,0.1767,0,1.0006,1,1,0.5068
7,0.1211,34.0218,3.756,0.2727,16.9853,11.0797,5.4678,0,0.4792,0.3423,0.1794,0,1.0009,1,1,0.5208
8,0.1299,37.7778,6.2493,0.29,18.785,12.3655,6.1417,0,0.4705,0.3496,0.181,0,1.0011,1,1,0.5295
9,0.14,44.0271,6.6369,0.311,21.7251,14.5504,7.2728,0,0.4605,0.358,0.1828,0,1.0013,1,1,0.5395
10,0.1492,50.664,7.2177,0.3315,24.7817,16.9266,8.4858,0,0.4515,0.3657,0.1843,0,1.0016,1,1,0.5485
11,0.1575,57.8817,7.8983,0.3514,28.0404,19.5665,9.8163,0,0.4381,0.3764,0.1871,0,1.0016,1,1,0.5619
12,0.1718,65.78,7.2553,0.3876,31.5003,22.5393,11.2944,0,0.4139,0.3956,0.192,0,1.0016,1,1,0.5861
13,0.1886,73.0354,7.4339,0.4343,34.5036,25.4094,12.6877,0,0.3857,0.4184,0.1974,0,1.0015,1,1,0.6143
14,0.2087,80.4693,9.211,0.4975,37.371,28.5195,14.1555,0,0.3582,0.4415,0.2017,0,1.0015,1,1,0.6418
15,0.2314,89.6803,11.6986,0.5787,40.6707,32.5864,16.0136,0,0.3369,0.4609,0.2036,0,1.0014,1,1,0.6631
16,0.252,101.3789,13.1392,0.6644,44.6118,37.9788,18.3952,0,0.3173,0.4773,0.2065,0,1.0011,1,1,0.6827
17,0.2717,114.5181,14.7728,0.7589,48.7805,44.2508,21.1086,0,0.296,0.4798,0.2233,0,0.9991,1,1,0.704
18,0.2921,129.2909,15.7272,0.9006,53.1531,51.3384,24.4079,0,0.2741,0.4815,0.2413,0,0.9969,1,1,0.7259
19,0.3113,145.0182,6.227,1.0521,57.464,58.9107,28.2025,0,0.3191,0.4395,0.2367,0,0.9953,0.3,1.25,0.6809
20,0.3269,151.2452,6.3624,1.1068,59.4509,61.6477,29.6763,0,0.3014,0.4407,0.2518,0,0.9938,0.3,1.25,0.6986
21,0.3413,157.6076,6.7363,1.1629,61.3682,64.4516,31.2782,0,0.2849,0.4413,0.2662,0,0.9924,0.3,1.25,0.7151
22,0.356,164.344,6.7514,1.2223,63.2876,67.4245,33.0712,0,0.2676,0.4425,0.2814,0,0.9915,0.3,1.25,0.7324
23,0.3705,171.0953,5.7327,1.2821,65.0945,70.4117,34.9712,0,0.2498,0.4446,0.2972,0,0.9916,0.3,1.25,0.7502
24,0.3874,176.8281,6.1611,1.3331,66.5263,72.9604,36.6752,0,0.2289,0.4465,0.3162,0,0.9916,0.3,1.25,0.7711
25,0.4069,182.9892,6.5005,1.3881,67.9365,75.7114,38.6235,0,0.2099,0.4456,0.3368,0,0.9923,0.3,1.25,0.7901
26,0.4226,189.4898,1.7177,1.446,69.3008,78.6083,40.8126,0,0.2018,0.4411,0.3508,0,0.9937,0.3,1.25,0.7982
27,0.4388,191.2074,3.8046,1.4612,69.6475,79.366,41.4152,0,0.1935,0.4362,0.3655,0,0.9952,0.3,1.25,0.8065
28,0.4535,195.0121,1.6318,1.4944,70.3837,81.0254,42.8058,0,0.1861,0.4317,0.3787,0,0.9965,0.3,1.25,0.8139
29,0.4661,196.6438,4.0643,1.5084,70.6873,81.7298,43.4238,0,0.1798,0.4282,0.3894,0,0.9974,0.3,1.25,0.8202
30,0.4841,200.7082,4.322,1.5433,71.4182,83.4704,45.0063,0,0.171,0.4231,0.4047,0,0.9988,0.3,1.25,0.829
31,0.4997,205.0302,5.0051,1.5798,72.1571,85.2991,46.7554,0,0.1633,0.4185,0.4182,0,1,0.3,1.25,0.8367
32,0.5152,210.0352,4.3114,1.6217,72.9743,87.3939,48.8483,0,0.1565,0.4034,0.4374,0,0.9973,0.3,1.25,0.8435
33,0.534,214.3467,5.2839,1.6565,73.6489,89.1331,50.7343,0,0.1483,0.3845,0.4612,0,0.9939,0.3,1.25,0.8517
34,0.5507,219.6305,6.4678,1.6971,74.4325,91.1647,53.171,0,0.1411,0.3673,0.4826,0,0.9909,0.3,1.25,0.8589
35,0.5639,226.0984,2.6429,1.7447,75.345,93.5403,56.2921,0,0.1366,0.3538,0.4995,0,0.9899,0.3,1.25,0.8634
36,0.5766,228.7413,2.9274,1.7634,75.7059,94.4754,57.6123,0,0.1322,0.3406,0.516,0,0.9889,0.3,1.25,0.8678
37,0.5873,231.6687,7.8286,1.7833,76.093,95.4726,59.1229,0,0.1286,0.3294,0.5301,0,0.988,0.3,1.25,0.8714
38,0.6019,239.4973,3.7706,1.8349,77.0996,98.0512,63.2726,0,0.1236,0.3142,0.5497,0,0.9874,0.3,1.25,0.8764
39,0.6204,243.2679,6.1512,1.8586,77.5656,99.2357,65.3451,0,0.1173,0.2962,0.5781,0,0.9915,0.3,1.25,0.8827
40,0.6413,249.4191,7.6401,1.895,78.287,101.0577,68.9011,0,0.1102,0.2757,0.6104,0,0.9962,0.3,1.25,0.8898
41,0.6634,257.0592,6.537,1.9371,79.1286,103.1641,73.5645,0,0.1021,0.2542,0.6448,0,1.001,0.3,1.25,0.8979
42,0.6861,263.5962,4.9601,1.9704,79.7958,104.8257,77.7793,0,0.0935,0.2323,0.68,0,1.0058,0.3,1.25,0.9065
43,0.707,268.5563,8.2304,1.9934,80.2595,105.9779,81.1522,0,0.0863,0.2124,0.7101,0,1.0088,0.3,1.25,0.9137
44,0.7296,276.7866,7.2375,2.0284,80.9702,107.7257,86.9966,0,0.0804,0.1921,0.7364,0,1.0089,0.3,1.25,0.9196
45,0.7532,284.0242,8.2698,2.0562,81.5517,109.1163,92.3267,0,0.0741,0.1704,0.7642,0,1.0087,0.3,1.25,0.9259
46,0.7733,292.2939,3.8317,2.0844,82.1648,110.5253,98.6464,0,0.0692,0.15,0.7874,0,1.0066,0.3,1.25,0.9308
47,0.7902,296.1256,1.4628,2.0958,82.4299,111.1,101.6635,0,0.065,0.1327,0.807,0,1.0047,0.3,1.25,0.935
48,0.8029,297.5885,2.7634,2.0997,82.525,111.2941,102.844,0,0.0619,0.1202,0.8215,0,1.0037,0.3,1.25,0.9381
49,0.8129,300.3518,8.6643,2.1064,82.6961,111.6263,105.1142,0,0.0597,0.1121,0.8322,0,1.004,0.3,1.25,0.9403
50,0.8246,309.0161,5.4331,2.1258,83.213,112.5972,112.325,0,0.057,0.1025,0.8447,0,1.0042,0.3,1.25,0.943
51,0.8405,314.4492,3.7741,2.1369,83.5227,113.1543,116.9143,0,0.0534,0.0894,0.8618,0,1.0046,0.3,1.25,0.9466
52,0.8558,318.2233,6.6582,2.1437,83.7241,113.4918,120.1669,0,0.0497,0.0773,0.8783,0,1.0053,0.3,1.25,0.9503
53,0.8744,324.8816,4.677,2.154,84.0548,114.0063,126.0148,0,0.0447,0.0635,0.8984,0,1.0066,0.3,1.25,0.9553
54,0.8936,329.5586,5.1462,2.1599,84.264,114.3031,130.2165,0,0.0396,0.0491,0.9192,0,1.0079,0.3,1.25,0.9604
55,0.9145,334.7048,7.3964,2.165,84.468,114.5557,134.947,0,0.0355,0.0315,0.939,0,1.006,0.3,1.25,0.9645
56,0.936,342.1012,8.6512,2.1696,84.7302,114.7887,141.8921,0,0.0318,0.0125,0.9581,0,1.0024,0.3,1.25,0.9682
57,0.9574,350.7524,7.5096,2.1718,85.0053,114.8966,150.1807,0,0.0283,0,0.8284,0.1433,1,0.3,1.25,0.9717
58,0.9826,358.262,8.7581,2.1718,85.2177,114.8966,156.4016,0,0.0244,0,0.339,0.6365,1,0.3,1.25,0.9756
59,1.0093,367.0201,5.2768,2.1718,85.4318,114.8966,159.3706,0,0.0208,0,0,0.9792,1,0.3,1.25,0.9792
60,1.0262,372.2969,5.7955,2.1066,85.5413,114.8966,159.3706,5.1672,0.0188,0,0,0.9812,1,0.3,1.25,0.9812
61,1.0431,378.0924,8.3532,2.0434,85.6505,114.8966,159.3706,10.8536,0.0169,0,0,0.9831,1,0.3,1.25,0.9831
62,1.0607,386.4456,3.731,1.9821,85.7917,114.8966,159.3706,19.0656,0.0151,0,0,0.9849,1,0.3,1.25,0.9849
63,1.0757,390.1766,7.7477,1.9227,85.8481,114.8966,159.3706,22.7403,0.0137,0,0,0.9863,1,0.3,1.25,0.9863
64,1.0925,397.9243,4.7586,1.865,85.9541,114.8966,159.3706,30.3819,0.0121,0,0,0.9879,1,0.3,1.25,0.9879
65,1.1109,402.6829,13.1601,1.809,86.0116,114.8966,159.3706,35.0829,0.0081,0,0,0.9919,1,1,1,0.9919
66,1.1282,415.843,21.0808,1.7548,86.1184,114.8966,159.3706,48.1363,0.0065,0,0,0.9935,1,1,1,0.9935
67,1.1423,436.9238,27.3852,1.7021,86.2562,114.8966,159.3706,69.0793,0.0053,0,0,0.9947,1,1,1,0.9947
68,1.1585,464.309,21.1874,1.6511,86.4001,114.8966,159.3706,96.3206,0.0038,0,0,0.9962,1,1,1,0.9962
69,1.1755,485.4964,29.3527,1.6015,86.4802,114.8966,159.3706,117.4279,0.0022,0,0,0.9978,1,1,1,0.9978
70,1.1935,514.8491,14.9491,1.5535,86.5457,114.8966,159.3706,146.7151,0.0006,0,0,0.9994,1,1,1,0.9994
71,1.2123,529.7982,4.5443,1.5069,86.5545,114.8966,159.3706,161.6553,0,0,0,1,1,1,1,1
72,1.2255,534.3424,14.4944,1.4617,86.5545,114.8966,159.3706,166.1996,0,0,0,1,1,1,1,1
73,1.2394,548.8368,17.1281,1.4178,86.5545,114.8966,159.3706,180.6939,0,0,0,1,1,1,1,1
74,1.2531,565.9649,16.4547,1.3753,86.5545,114.8966,159.3706,197.8221,0,0,0,1,1,1,1,1
75,1.2712,582.4197,9.0538,1.334,86.5545,114.8966,159.3706,214.2768,0,0,0,1,1,1,1,1
76,1.2855,591.4735,11.721,1.294,86.5545,114.8966,159.3706,223.3306,0,0,0,1,1,1,1,1
77,1.2953,603.1945,19.3593,1.2552,86.5545,114.8966,159.3706,235.0516,0,0,0,1,1,1,1,1
78,1.3049,622.5538,13.5583,1.2175,86.5545,114.8966,159.3706,254.411,0,0,0,1,1,1,1,1
79,1.3163,636.1121,6.0654,1.181,86.5545,114.8966,159.3706,267.9692,0,0,0,1,1,1,1,1
80,1.3288,642.1775,8.6488,1.1456,86.5545,114.8966,159.3706,274.0346,0,0,0,1,1,1,1,1
81,1.3418,650.8262,15.3787,1.1112,86.5545,114.8966,159.3706,282.6834,0,0,0,1,1,1,1,1
82,1.3604,666.2049,13.4773,1.0779,86.5545,114.8966,159.3706,298.0621,0,0,0,1,1,1,1,1
83,1.3757,679.6822,7.3988,1.0455,86.5545,114.8966,159.3706,311.5394,0,0,0,1,1,1,1,1
84,1.3883,687.081,9.4271,1.0142,86.5545,114.8966,159.3706,318.9381,0,0,0,1,1,1,1,1
85,1.3995,696.5081,10.4177,0.9837,86.5545,114.8966,159.3706,328.3652,0,0,0,1,1,1,1,1
86,1.412,706.9258,10.1225,0.9542,86.5545,114.8966,159.3706,338.7829,0,0,0,1,1,1,1,1
87,1.425,717.0482,17.4653,0.9256,86.5545,114.8966,159.3706,348.9054,0,0,0,1,1,1,1,1
88,1.4391,734.5135,17.4641,0.8978,86.5545,114.8966,159.3706,366.3707,0,0,0,1,1,1,1,1
89,1.4531,751.9776,10.648,0.8709,86.5545,114.8966,159.3706,383.8348,0,0,0,1,1,1,1,1
90,1.4663,762.6257,14.0762,0.8448,86.5545,114.8966,159.3706,394.4828,0,0,0,1,1,1,1,1
91,1.4793,776.7019,8.9496,0.8194,86.5545,114.8966,159.3706,408.559,0,0,0,1,1,1,1,1
92,1.4911,785.6515,10.1869,0.7948,86.5545,114.8966,159.3706,417.5086,0,0,0,1,1,1,1,1
93,1.5045,795.8384,9.4269,0.771,86.5545,114.8966,159.3706,427.6955,0,0,0,1,1,1,1,1
94,1.5236,805.2653,14.2244,0.7479,86.5545,114.8966,159.3706,437.1224,0,0,0,1,1,1,1,1
95,1.5457,819.4897,13.701,0.7254,86.5545,114.8966,159.3706,451.3469,0,0,0,1,1,1,1,1
96,1.5695,833.1908,14.971,0.7037,86.5545,114.8966,159.3706,465.0479,0,0,0,1,1,1,1,1
97,1.5944,848.1618,15.5759,0.6826,86.5545,114.8966,159.3706,480.0189,0,0,0,1,1,1,1,1
98,1.6141,863.7377,11.6854,0.6621,86.5545,114.8966,159.3706,495.5948,0,0,0,1,1,1,1,1
99,1.6317,875.423,6.5134,0.6422,86.5545,114.8966,159.3706,507.2802,0,0,0,1,1,1,1,1
100,1.6458,881.9364,8.4829,0.623,86.5545,114.8966,159.3706,513.7936,0,0,0,1,1,1,1,1
101,1.6624,890.4194,10.5002,0.6043,86.5545,114.8966,159.3706,522.2765,0,0,0,1,1,1,1,1
102,1.6778,900.9195,10.6381,0.5861,86.5545,114.8966,159.3706,532.7767,0,0,0,1,1,1,1,1
103,1.6927,911.5576,3.6041,0.5686,86.5545,114.8966,159.3706,543.4147,0,0,0,1,1,1,1,1
104,1.7041,915.1617,5.1799,0.5515,86.5545,114.8966,159.3706,547.0189,0,0,0,1,1,1,1,1
105,1.7177,920.3417,10.5936,0.535,86.5545,114.8966,159.3706,552.1988,0,0,0,1,1,1,1,1
106,1.7331,930.9352,9.7775,0.5189,86.5545,114.8966,159.3706,562.7924,0,0,0,1,1,1,1,1
107,1.7518,940.7127,9.4251,0.5033,86.5545,114.8966,159.3706,572.5698,0,0,0,1,1,1,1,1
108,1.7691,950.1378,5.7739,0.4882,86.5545,114.8966,159.3706,581.9949,0,0,0,1,1,1,1,1
109,1.7851,955.9117,2.8011,0.4736,86.5545,114.8966,159.3706,587.7689,0,0,0,1,1,1,1,1
110,1.7974,958.7129,6.447,0.4594,86.5545,114.8966,159.3706,590.57,0,0,0,1,1,1,1,1
111,1.807,965.1599,8.1818,0.4456,86.5545,114.8966,159.3706,597.017,0,0,0,1,1,1,1,1
112,1.817,973.3417,10.215,0.4322,86.5545,114.8966,159.3706,605.1988,0,0,0,1,1,1,1,1
113,1.8297,983.5567,2.4326,0.4193,86.5545,114.8966,159.3706,615.4138,0,0,0,1,1,1,1,1
114,1.8427,985.9893,8.2774,0.4067,86.5545,114.8966,159.3706,617.8465,0,0,0,1,1,1,1,1
115,1.8568,994.2667,9.2846,0.3945,86.5545,114.8966,159.3706,626.1239,0,0,0,1,1,1,1,1
116,1.8727,1003.5513,9.3523,0.3827,86.5545,114.8966,159.3706,635.4084,0,0,0,1,1,1,1,1
117,1.8918,1012.9037,7.0665,0.3712,86.5545,114.8966,159.3706,644.7608,0,0,0,1,1,1,1,1
118,1.9127,1019.9702,1.7294,0.36,86.5545,114.8966,159.3706,651.8273,0,0,0,1,1,1,1,1
119,1.9266,1021.6996,1.425,0.3492,86.5545,114.8966,159.3706,653.5567,0,0,0,1,1,1,1,1
120,1.939,1023.1246,0.5253,0.3388,86.5545,114.8966,159.3706,654.9818,0,0,0,1,1,1,1,1
121,1.9508,1023.6499,1.2969,0.3286,86.5545,114.8966,159.3706,655.5071,0,0,0,1,1,1,1,1
122,1.9655,1024.9468,6.3368,0.3187,86.5545,114.8966,159.3706,656.804,0,0,0,1,1,1,1,1
123,1.9803,1031.2836,6.2699,0.3092,86.5545,114.8966,159.3706,663.1407,0,0,0,1,1,1,1,1
124,1.995,1037.5535,6.6089,0.2999,86.5545,114.8966,159.3706,669.4107,0,0,0,1,1,1,1,1
125,2.0108,1044.1624,0,0.2909,86.5545,114.8966,159.3706,676.0196,0,0,0,1,1,1,1,1
